essround,idno,gndr,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,hincfel,grdfinc,gvctzpv,cntry,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk
10,14774,Mees,60,Iga päev,480,7,7,7,Elame mugavalt praeguse sissetuleku juures,10,10,EE,8,Mitu korda kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14782,Naine,180,Mitte kunagi,NA,5,7,6,Saame hakkama praeguse sissetuleku juures,6,10,EE,9,Mitu korda nädalas,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14783,Mees,50,Iga päev,30,8,8,8,Saame hakkama praeguse sissetuleku juures,6,6,EE,8,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,14804,Naine,360,Ainult aeg-ajalt,NA,5,10,0,Saame hakkama praeguse sissetuleku juures,10,5,EE,5,Mitu korda nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,14808,Naine,300,Mitte kunagi,NA,5,5,1,Saame hakkama praeguse sissetuleku juures,8,9,EE,5,Kord kuus,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,üldse mitte turvaliselt
10,14812,Mees,60,Iga päev,480,6,4,2,Elame mugavalt praeguse sissetuleku juures,8,8,EE,8,Mitu korda kuus,4-6,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,14830,Naine,30,Iga päev,480,7,5,5,Saame hakkama praeguse sissetuleku juures,8,8,EE,10,Mitu korda nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,14833,Mees,20,Iga päev,60,3,3,3,Saame hakkama praeguse sissetuleku juures,6,6,EE,7,Vähem kui kord kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,14858,Naine,30,Iga päev,240,8,8,5,Praeguse sissetuleku juures on väga raske hakkama saada,10,10,EE,7,Kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14873,Mees,120,Mitte kunagi,NA,8,8,3,Praeguse sissetuleku juures on väga raske hakkama saada,9,9,EE,5,Kord nädalas,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,14879,Naine,15,Iga päev,420,5,8,7,Saame hakkama praeguse sissetuleku juures,10,10,EE,10,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14882,Naine,0,Iga päev,300,8,5,5,Saame hakkama praeguse sissetuleku juures,3,7,EE,8,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,14899,Naine,30,Mitte kunagi,NA,8,7,9,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,6,Mitte kunagi,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14921,Naine,90,Mitte kunagi,NA,5,5,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,2,Mitte kunagi,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,14934,Mees,0,Iga päev,480,9,7,1,Saame hakkama praeguse sissetuleku juures,8,10,EE,7,Mitu korda kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14936,Naine,30,Iga päev,120,8,5,7,Praeguse sissetuleku juures on raske hakkama saada,7,10,EE,5,Mitu korda nädalas,10 või enam,Sagedamini kui enamik eakaaslasi,Jah,mitte eriti turvaliselt
10,14944,Naine,60,Enamikul päevadel,480,8,8,8,Saame hakkama praeguse sissetuleku juures,7,7,EE,8,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,14949,Mees,90,Iga päev,60,NA,NA,4,Saame hakkama praeguse sissetuleku juures,7,10,EE,10,Kord kuus,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,14976,Naine,0,Iga päev,120,2,3,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,10,Iga päev,1,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,14988,Naine,0,Iga päev,360,3,5,3,Elame mugavalt praeguse sissetuleku juures,6,5,EE,4,Iga päev,2,Harvemini kui enamik eakaaslasi,Jah,turvaliselt
10,14990,Naine,30,Iga päev,150,5,8,8,Saame hakkama praeguse sissetuleku juures,5,5,EE,8,Kord kuus,4-6,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,14992,Mees,60,Mitte kunagi,NA,3,5,5,Saame hakkama praeguse sissetuleku juures,9,8,EE,6,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15005,Naine,60,Mitte kunagi,NA,5,5,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Kord kuus,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15016,Mees,120,Iga päev,240,5,5,8,Praeguse sissetuleku juures on väga raske hakkama saada,6,9,EE,6,Vähem kui kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15030,Naine,60,Mitte kunagi,NA,4,5,7,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Kord kuus,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15037,Naine,60,Iga päev,60,5,5,3,Saame hakkama praeguse sissetuleku juures,5,5,EE,9,Kord nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15046,Mees,60,Mitte kunagi,NA,7,5,8,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Vähem kui kord kuus,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15062,Mees,60,Iga päev,60,3,2,3,Elame mugavalt praeguse sissetuleku juures,7,10,EE,7,Kord kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15066,Naine,30,Iga päev,180,7,5,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,8,Vähem kui kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15094,Naine,75,Iga päev,360,7,8,7,Elame mugavalt praeguse sissetuleku juures,5,6,EE,8,Mitu korda kuus,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15097,Naine,15,Iga päev,480,7,6,5,Praeguse sissetuleku juures on raske hakkama saada,9,9,EE,4,Mitu korda kuus,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15099,Mees,60,Mitte kunagi,NA,8,8,6,Saame hakkama praeguse sissetuleku juures,10,8,EE,8,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15117,Naine,60,Mitte kunagi,NA,10,5,10,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Mitu korda kuus,4-6,Palju sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,15125,Naine,60,Iga päev,30,6,8,7,Praeguse sissetuleku juures on raske hakkama saada,8,7,EE,3,Iga päev,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15127,Mees,180,Iga päev,60,0,4,0,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Mitu korda nädalas,4-6,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,15128,Mees,15,Iga päev,360,3,5,3,Saame hakkama praeguse sissetuleku juures,6,5,EE,7,Mitu korda kuus,3,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15134,Naine,90,Enamikul päevadel,45,3,4,6,Praeguse sissetuleku juures on raske hakkama saada,8,7,EE,8,Mitu korda nädalas,1,Sagedamini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15185,Naine,90,Enamikul päevadel,70,2,4,3,Saame hakkama praeguse sissetuleku juures,7,7,EE,7,Mitu korda nädalas,3,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15192,Naine,40,Enamikul päevadel,60,4,4,0,Saame hakkama praeguse sissetuleku juures,8,10,EE,3,Kord kuus,2,Palju harvemini kui enamik eakaaslasi,Jah,üldse mitte turvaliselt
10,15230,Mees,120,Iga päev,180,5,7,2,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,8,Kord kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,15241,Mees,60,Mitte kunagi,NA,5,0,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15242,Mees,29,Iga päev,120,6,7,5,Elame mugavalt praeguse sissetuleku juures,6,6,EE,8,Mitu korda kuus,3,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15243,Naine,0,Iga päev,480,7,7,3,Saame hakkama praeguse sissetuleku juures,5,6,EE,10,Mitu korda nädalas,4-6,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,15253,Naine,60,Mõni kord nädalas,NA,0,4,6,Elame mugavalt praeguse sissetuleku juures,7,10,EE,8,Kord kuus,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15275,Naine,90,Iga päev,30,7,5,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,5,Kord kuus,2,Palju harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15282,Mees,180,Iga päev,300,9,5,3,Elame mugavalt praeguse sissetuleku juures,7,7,EE,6,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15292,Naine,30,Iga päev,60,8,7,9,Saame hakkama praeguse sissetuleku juures,10,8,EE,9,Mitu korda nädalas,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15303,Naine,120,Iga päev,180,7,8,8,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,9,Mitu korda nädalas,4-6,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15310,Mees,30,Iga päev,60,5,6,4,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Kord kuus,4-6,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15311,Naine,40,Iga päev,540,5,5,5,Saame hakkama praeguse sissetuleku juures,9,10,EE,10,Mitu korda nädalas,2,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15312,Mees,120,Ainult aeg-ajalt,NA,5,5,5,Elame mugavalt praeguse sissetuleku juures,10,10,EE,8,Mitu korda kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15325,Mees,60,Iga päev,90,4,4,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,6,Kord kuus,4-6,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,15327,Naine,30,Iga päev,50,2,4,2,Saame hakkama praeguse sissetuleku juures,10,10,EE,6,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15330,Mees,5,Iga päev,600,6,6,5,Saame hakkama praeguse sissetuleku juures,7,10,EE,6,Vähem kui kord kuus,1,Harvemini kui enamik eakaaslasi,Jah,mitte eriti turvaliselt
10,15345,Naine,60,Iga päev,180,5,7,6,Elame mugavalt praeguse sissetuleku juures,8,7,EE,8,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15349,Mees,60,Iga päev,120,7,8,3,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Kord nädalas,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15353,Mees,60,Enamikul päevadel,120,5,8,5,Elame mugavalt praeguse sissetuleku juures,10,10,EE,8,Kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15373,Mees,0,Iga päev,540,6,5,5,Elame mugavalt praeguse sissetuleku juures,9,8,EE,8,Mitu korda nädalas,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15394,Naine,60,Iga päev,120,7,8,8,Saame hakkama praeguse sissetuleku juures,7,7,EE,8,Kord nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15412,Mees,30,Iga päev,60,3,5,10,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Vähem kui kord kuus,4-6,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15440,Mees,15,Iga päev,120,10,10,5,Saame hakkama praeguse sissetuleku juures,5,10,EE,10,Mitu korda kuus,10 või enam,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15446,Mees,120,Iga päev,360,10,10,10,Saame hakkama praeguse sissetuleku juures,4,3,EE,7,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15450,Naine,30,Iga päev,210,5,4,4,Elame mugavalt praeguse sissetuleku juures,9,9,EE,9,Mitu korda nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15457,Mees,120,Mõni kord nädalas,NA,3,3,3,Saame hakkama praeguse sissetuleku juures,10,10,EE,7,Vähem kui kord kuus,1,Umbes sama tihti kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15470,Naine,60,Iga päev,120,4,6,4,Saame hakkama praeguse sissetuleku juures,9,9,EE,9,Mitu korda kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15473,Naine,120,Mitte kunagi,NA,5,8,7,Saame hakkama praeguse sissetuleku juures,10,10,EE,10,Kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,üldse mitte turvaliselt
10,15480,Naine,30,Iga päev,600,7,7,5,Elame mugavalt praeguse sissetuleku juures,8,9,EE,6,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15567,Naine,180,Mitte kunagi,NA,7,8,8,Saame hakkama praeguse sissetuleku juures,9,9,EE,5,Vähem kui kord kuus,2,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15578,Naine,30,Iga päev,60,6,5,5,Saame hakkama praeguse sissetuleku juures,9,9,EE,8,Mitu korda kuus,1,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15579,Mees,45,Iga päev,180,8,10,7,Elame mugavalt praeguse sissetuleku juures,2,2,EE,10,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15586,Mees,30,Ainult aeg-ajalt,NA,5,5,5,Saame hakkama praeguse sissetuleku juures,5,5,EE,8,Vähem kui kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15590,Mees,240,Mitte kunagi,NA,10,8,5,Saame hakkama praeguse sissetuleku juures,7,9,EE,8,Mitu korda kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15593,Naine,15,Enamikul päevadel,180,4,6,7,Elame mugavalt praeguse sissetuleku juures,9,9,EE,7,Mitu korda nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15617,Naine,30,Iga päev,210,5,7,7,Saame hakkama praeguse sissetuleku juures,10,10,EE,7,Iga päev,2,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,15622,Naine,30,Iga päev,600,8,8,6,Saame hakkama praeguse sissetuleku juures,8,8,EE,8,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15631,Mees,180,Mitte kunagi,NA,5,5,6,Saame hakkama praeguse sissetuleku juures,3,3,EE,9,Mitu korda nädalas,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15639,Naine,120,Mitte kunagi,NA,10,8,9,Saame hakkama praeguse sissetuleku juures,NA,10,EE,6,Mitu korda nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15647,Naine,120,Mitte kunagi,NA,3,7,3,Saame hakkama praeguse sissetuleku juures,7,3,EE,8,Mitu korda kuus,3,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,15654,Mees,10,Iga päev,6,3,3,5,Saame hakkama praeguse sissetuleku juures,7,7,EE,6,Vähem kui kord kuus,2,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15671,Naine,30,Iga päev,120,7,7,7,Praeguse sissetuleku juures on raske hakkama saada,8,8,EE,6,Mitu korda nädalas,4-6,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15674,Naine,60,Iga päev,480,7,7,5,Elame mugavalt praeguse sissetuleku juures,8,10,EE,8,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15677,Naine,45,Iga päev,570,7,8,6,Saame hakkama praeguse sissetuleku juures,8,8,EE,8,Mitu korda nädalas,4-6,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,15707,Mees,300,Iga päev,720,5,3,8,Saame hakkama praeguse sissetuleku juures,7,10,EE,9,Mitte kunagi,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15713,Mees,15,Iga päev,240,8,9,6,Elame mugavalt praeguse sissetuleku juures,5,5,EE,7,Kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15725,Mees,10,Iga päev,480,8,6,7,Saame hakkama praeguse sissetuleku juures,8,8,EE,8,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15788,Naine,150,Mõni kord nädalas,NA,5,5,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,9,Kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15798,Mees,60,Ainult aeg-ajalt,NA,6,5,7,Saame hakkama praeguse sissetuleku juures,6,4,EE,6,Mitu korda kuus,4-6,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15831,Mees,120,Mitte kunagi,NA,0,5,0,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15862,Naine,15,Iga päev,120,8,8,5,Saame hakkama praeguse sissetuleku juures,5,5,EE,9,Kord nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15863,Mees,5,Iga päev,360,3,5,5,Saame hakkama praeguse sissetuleku juures,8,7,EE,7,Mitu korda nädalas,1,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,15880,Mees,30,Ainult aeg-ajalt,NA,8,9,9,Saame hakkama praeguse sissetuleku juures,8,8,EE,8,Kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,15885,Mees,60,Mitte kunagi,NA,5,5,0,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,3,Mitu korda kuus,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15909,Mees,60,Enamikul päevadel,60,7,5,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Kord kuus,2,Harvemini kui enamik eakaaslasi,Jah,mitte eriti turvaliselt
10,15912,Mees,30,Iga päev,60,8,5,5,Saame hakkama praeguse sissetuleku juures,9,9,EE,7,Kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15932,Naine,20,Iga päev,180,6,7,5,Saame hakkama praeguse sissetuleku juures,6,9,EE,8,Kord nädalas,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,15943,Mees,180,Iga päev,240,8,9,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Mitu korda kuus,Mitte ühtegi,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,15955,Naine,10,Iga päev,120,5,8,10,Elame mugavalt praeguse sissetuleku juures,7,5,EE,8,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,15964,Naine,20,Iga päev,120,9,8,8,Praeguse sissetuleku juures on väga raske hakkama saada,10,10,EE,5,Kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,15968,Mees,90,Iga päev,480,5,7,7,Saame hakkama praeguse sissetuleku juures,6,8,EE,7,Kord nädalas,2,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16009,Naine,30,Iga päev,60,5,6,6,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,5,Vähem kui kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16013,Naine,150,Mitte kunagi,NA,4,6,4,Elame mugavalt praeguse sissetuleku juures,8,10,EE,9,Mitte kunagi,2,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16044,Naine,15,Iga päev,90,5,7,5,Saame hakkama praeguse sissetuleku juures,8,6,EE,8,Kord nädalas,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16061,Naine,90,Iga päev,120,7,7,7,Saame hakkama praeguse sissetuleku juures,8,10,EE,7,Mitu korda kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16102,Naine,90,Enamikul päevadel,45,8,7,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,8,Mitu korda nädalas,4-6,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16106,Naine,30,Iga päev,540,6,4,7,Saame hakkama praeguse sissetuleku juures,8,9,EE,8,Mitu korda nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16107,Mees,20,Iga päev,720,0,1,0,Elame mugavalt praeguse sissetuleku juures,5,5,EE,9,Mitu korda kuus,2,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16109,Mees,90,Enamikul päevadel,180,2,4,2,Saame hakkama praeguse sissetuleku juures,7,3,EE,7,Mitu korda kuus,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16113,Naine,30,Iga päev,120,8,3,9,Elame mugavalt praeguse sissetuleku juures,9,9,EE,10,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,16121,Mees,420,Mitte kunagi,NA,0,NA,0,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Kord nädalas,Mitte ühtegi,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16138,Naine,30,Iga päev,480,7,7,7,Saame hakkama praeguse sissetuleku juures,7,7,EE,7,Mitu korda kuus,4-6,Harvemini kui enamik eakaaslasi,Jah,turvaliselt
10,16155,Naine,15,Iga päev,540,7,6,8,Saame hakkama praeguse sissetuleku juures,9,10,EE,9,Kord nädalas,10 või enam,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,16161,Mees,15,Iga päev,120,8,4,7,Praeguse sissetuleku juures on raske hakkama saada,8,8,EE,8,Mitu korda nädalas,1,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16163,Naine,5,Iga päev,60,5,0,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,9,Mitu korda kuus,1,Sagedamini kui enamik eakaaslasi,Jah,väga turvaliselt
10,16165,Naine,90,Enamikul päevadel,60,9,4,5,Saame hakkama praeguse sissetuleku juures,7,6,EE,8,Kord nädalas,1,Harvemini kui enamik eakaaslasi,Jah,mitte eriti turvaliselt
10,16171,Mees,240,Mitte kunagi,NA,7,7,5,Praeguse sissetuleku juures on raske hakkama saada,3,3,EE,6,Kord kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16173,Mees,10,Iga päev,NA,4,8,6,Praeguse sissetuleku juures on raske hakkama saada,8,10,EE,8,Kord kuus,1,Harvemini kui enamik eakaaslasi,Jah,väga turvaliselt
10,16178,Mees,90,Iga päev,600,6,6,6,Elame mugavalt praeguse sissetuleku juures,6,8,EE,7,Mitu korda nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16183,Naine,120,Iga päev,30,7,10,4,Praeguse sissetuleku juures on raske hakkama saada,8,9,EE,8,Kord kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,16186,Mees,60,Iga päev,90,7,8,9,Saame hakkama praeguse sissetuleku juures,7,8,EE,8,Mitu korda kuus,1,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16229,Naine,60,Iga päev,240,5,6,5,Saame hakkama praeguse sissetuleku juures,8,9,EE,8,Kord nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,16233,Naine,90,Iga päev,420,5,8,7,Saame hakkama praeguse sissetuleku juures,8,9,EE,9,Kord kuus,4-6,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16248,Mees,60,Mitte kunagi,NA,5,7,7,Saame hakkama praeguse sissetuleku juures,5,5,EE,7,Kord nädalas,4-6,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16254,Mees,10,Iga päev,360,7,5,4,Praeguse sissetuleku juures on raske hakkama saada,0,10,EE,8,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16261,Naine,300,Iga päev,360,8,7,8,Saame hakkama praeguse sissetuleku juures,2,2,EE,9,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16287,Mees,150,Mitte kunagi,NA,3,4,7,Saame hakkama praeguse sissetuleku juures,8,8,EE,8,Mitu korda kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16291,Mees,240,Ainult aeg-ajalt,NA,8,8,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,7,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16303,Mees,30,Mitte kunagi,NA,5,5,5,Saame hakkama praeguse sissetuleku juures,7,9,EE,7,Vähem kui kord kuus,1,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,16311,Naine,480,Iga päev,600,9,8,7,Elame mugavalt praeguse sissetuleku juures,6,6,EE,10,Mitu korda nädalas,3,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16312,Naine,60,Iga päev,180,8,3,7,Elame mugavalt praeguse sissetuleku juures,8,8,EE,8,Mitu korda kuus,2,Harvemini kui enamik eakaaslasi,Jah,mitte eriti turvaliselt
10,16317,Naine,180,Iga päev,180,3,5,7,Elame mugavalt praeguse sissetuleku juures,5,5,EE,8,Mitu korda kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,16330,Naine,20,Iga päev,180,7,7,7,Elame mugavalt praeguse sissetuleku juures,6,3,EE,8,Mitu korda nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,16334,Mees,120,Mõni kord nädalas,NA,4,7,1,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Vähem kui kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16342,Mees,60,Mõni kord nädalas,NA,6,5,5,Saame hakkama praeguse sissetuleku juures,8,10,EE,5,Kord nädalas,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,16347,Naine,30,Iga päev,480,9,9,5,Saame hakkama praeguse sissetuleku juures,5,5,EE,9,Mitu korda kuus,1,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16365,Mees,120,Iga päev,150,8,7,7,Saame hakkama praeguse sissetuleku juures,8,7,EE,8,Mitu korda nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,16394,Mees,120,Iga päev,180,7,7,4,Elame mugavalt praeguse sissetuleku juures,6,6,EE,10,Mitu korda nädalas,2,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,16396,Mees,30,Iga päev,60,5,7,6,Saame hakkama praeguse sissetuleku juures,5,10,EE,7,Vähem kui kord kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
