essround,idno,gndr,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,hincfel,grdfinc,gvctzpv,cntry,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk
10,12818,Mees,15,Iga päev,90,8,8,8,Elame mugavalt praeguse sissetuleku juures,10,6,EE,7,Vähem kui kord kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,12823,Mees,60,Iga päev,120,7,8,8,Saame hakkama praeguse sissetuleku juures,10,10,EE,9,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,12827,Naine,90,Mitte kunagi,NA,7,7,7,Saame hakkama praeguse sissetuleku juures,9,10,EE,8,Vähem kui kord kuus,7-9,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,12834,Mees,120,Enamikul päevadel,360,5,7,5,Saame hakkama praeguse sissetuleku juures,6,6,EE,7,Vähem kui kord kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,12855,Naine,95,Enamikul päevadel,30,5,5,3,Saame hakkama praeguse sissetuleku juures,9,9,EE,6,Vähem kui kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,12857,Naine,0,Iga päev,60,3,2,4,Saame hakkama praeguse sissetuleku juures,6,7,EE,7,Vähem kui kord kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,12860,Mees,30,Iga päev,300,6,4,3,Elame mugavalt praeguse sissetuleku juures,7,8,EE,8,Mitu korda kuus,1,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,12879,Naine,60,Iga päev,240,8,8,8,Elame mugavalt praeguse sissetuleku juures,7,7,EE,9,Mitu korda kuus,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,12885,Naine,30,Iga päev,180,7,6,7,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Kord nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,12889,Naine,180,Mitte kunagi,NA,9,9,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,10,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,12892,Naine,30,Iga päev,120,5,5,7,Elame mugavalt praeguse sissetuleku juures,7,8,EE,8,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,12898,Naine,30,Enamikul päevadel,120,5,5,5,Elame mugavalt praeguse sissetuleku juures,6,6,EE,7,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,12923,Naine,120,Mitte kunagi,NA,8,9,6,Saame hakkama praeguse sissetuleku juures,10,10,EE,9,Kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,12926,Naine,60,Iga päev,180,5,5,7,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,7,Mitu korda nädalas,2,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,12941,Naine,0,Iga päev,540,5,5,4,Saame hakkama praeguse sissetuleku juures,7,10,EE,10,Mitu korda nädalas,3,Palju harvemini kui enamik eakaaslasi,Jah,mitte eriti turvaliselt
10,12957,Mees,180,Mitte kunagi,NA,7,8,8,Saame hakkama praeguse sissetuleku juures,10,10,EE,9,Kord kuus,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,12967,Naine,60,Iga päev,120,7,5,2,Elame mugavalt praeguse sissetuleku juures,7,6,EE,9,Mitu korda kuus,1,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,12985,Naine,54,Iga päev,480,8,8,7,Elame mugavalt praeguse sissetuleku juures,6,6,EE,8,Kord nädalas,4-6,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13002,Mees,90,Iga päev,105,4,8,8,Saame hakkama praeguse sissetuleku juures,0,9,EE,8,Mitu korda kuus,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13013,Mees,60,Iga päev,720,5,7,7,Elame mugavalt praeguse sissetuleku juures,5,5,EE,7,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,13050,Naine,5,Iga päev,120,7,5,7,Saame hakkama praeguse sissetuleku juures,9,9,EE,5,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Jah,turvaliselt
10,13071,Naine,45,Iga päev,90,4,7,5,Saame hakkama praeguse sissetuleku juures,9,7,EE,8,Mitu korda kuus,3,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13073,Naine,30,Iga päev,120,6,7,6,Elame mugavalt praeguse sissetuleku juures,8,10,EE,10,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,13096,Naine,30,Iga päev,240,8,5,5,Saame hakkama praeguse sissetuleku juures,8,10,EE,9,Mitu korda nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,13101,Mees,60,Iga päev,120,6,7,5,Elame mugavalt praeguse sissetuleku juures,7,8,EE,7,Mitu korda nädalas,4-6,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,13113,Mees,80,Enamikul päevadel,90,7,4,7,Saame hakkama praeguse sissetuleku juures,10,10,EE,6,Mitu korda kuus,Mitte ühtegi,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,13120,Mees,30,Iga päev,120,4,5,7,Saame hakkama praeguse sissetuleku juures,5,9,EE,7,Mitu korda kuus,1,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,13130,Naine,80,Mõni kord nädalas,NA,5,5,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,5,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,13132,Naine,90,Iga päev,420,7,6,4,Elame mugavalt praeguse sissetuleku juures,4,2,EE,8,Kord nädalas,1,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,13152,Mees,240,Iga päev,180,6,7,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,10,Kord nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,13181,Mees,30,Iga päev,300,8,3,4,Saame hakkama praeguse sissetuleku juures,4,5,EE,7,Mitu korda nädalas,4-6,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13183,Mees,120,Iga päev,180,7,8,4,Elame mugavalt praeguse sissetuleku juures,10,10,EE,2,Kord nädalas,1,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13194,Mees,0,Iga päev,60,4,4,10,Saame hakkama praeguse sissetuleku juures,10,10,EE,10,Kord nädalas,2,Palju harvemini kui enamik eakaaslasi,Jah,turvaliselt
10,13204,Naine,30,Iga päev,240,10,10,7,Elame mugavalt praeguse sissetuleku juures,7,3,EE,10,Mitu korda nädalas,3,Sagedamini kui enamik eakaaslasi,Ei,turvaliselt
10,13211,Mees,5,Mõni kord nädalas,NA,2,6,3,Elame mugavalt praeguse sissetuleku juures,10,10,EE,7,Mitu korda kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,13212,Naine,60,Mitte kunagi,NA,0,4,5,Praeguse sissetuleku juures on raske hakkama saada,NA,NA,EE,8,Kord nädalas,1,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13239,Naine,120,Iga päev,540,8,8,8,Elame mugavalt praeguse sissetuleku juures,10,10,EE,9,Kord nädalas,4-6,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,13249,Mees,150,Mitte kunagi,NA,4,NA,NA,Saame hakkama praeguse sissetuleku juures,10,10,EE,3,Vähem kui kord kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,13256,Naine,60,Iga päev,480,5,7,7,Saame hakkama praeguse sissetuleku juures,9,8,EE,5,Vähem kui kord kuus,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,13273,Mees,60,Iga päev,360,5,6,4,Elame mugavalt praeguse sissetuleku juures,10,9,EE,10,Iga päev,4-6,Sagedamini kui enamik eakaaslasi,Ei,väga turvaliselt
10,13279,Mees,60,Iga päev,150,7,6,5,Saame hakkama praeguse sissetuleku juures,6,6,EE,9,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Jah,väga turvaliselt
10,13293,Naine,60,Iga päev,240,10,5,5,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,6,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
